unique_sample_id,class_id,class_name,component_id,area_pixels,centroid_y,centroid_x
Normal__N_6.jpg,16,L4,6,390,555.6282051282051,188.5076923076923
Normal__N_6.jpg,17,L5,1,6153,577.978059483179,138.71688607183486
Normal__N_6.jpg,17,L5,2,150,554.4,109.7
Normal__N_8.jpg,1,T1,1,2839,116.43148996125396,154.17259598450158
Normal__N_8.jpg,2,T2,1,816,132.21446078431373,119.67769607843137
Normal__N_8.jpg,2,T2,2,1339,140.79238237490665,178.99103808812546
Normal__N_8.jpg,3,T3,1,1300,154.04384615384615,153.22846153846154
Normal__N_8.jpg,3,T3,15,381,173.7217847769029,156.34383202099738
Normal__N_8.jpg,4,T4,5,78,161.64102564102564,112.1923076923077
Normal__N_8.jpg,4,T4,7,37,162.83783783783784,168.7027027027027
Normal__N_8.jpg,4,T4,18,33,167.27272727272728,191.4848484848485
Normal__N_8.jpg,4,T4,25,38,174.94736842105263,182.5
Normal__N_8.jpg,5,T5,1,3282,188.83363802559415,157.79037172455818
Normal__N_8.jpg,5,T5,49,52,218.19230769230768,99.73076923076923
Normal__N_8.jpg,6,T6,3,164,193.8841463414634,128.1829268292683
Normal__N_8.jpg,6,T6,8,33,187.78787878787878,157.4848484848485
Normal__N_8.jpg,6,T6,31,255,205.13333333333333,149.7843137254902
Normal__N_8.jpg,6,T6,51,36,215.22222222222223,173.27777777777777
Normal__N_8.jpg,7,T7,1,4592,233.91724738675958,149.4536149825784
Normal__N_8.jpg,8,T8,8,1631,264.3310852237891,152.98405885959534
Normal__N_8.jpg,9,T9,1,3522,290.8946621237933,164.76433844406588
Normal__N_8.jpg,10,T10,5,2730,322.8967032967033,167.12014652014653
Normal__N_8.jpg,10,T10,12,36,342.5833333333333,111.13888888888889
Normal__N_8.jpg,11,T11,2,3048,348.8937007874016,168.48654855643045
Normal__N_8.jpg,11,T11,11,67,369.1194029850746,115.11940298507463
Normal__N_8.jpg,12,T12,1,4213,380.56491811061,172.6902444813672
Normal__N_8.jpg,13,L1,1,4871,415.9761855881749,166.89324574009444
Normal__N_8.jpg,14,L2,1,5752,455.3424895688456,168.34822670375522
Normal__N_8.jpg,15,L3,1,6128,498.74738903394257,157.0726174934726
Normal__N_8.jpg,16,L4,1,5246,537.1300038124285,161.49275638581776
Normal__N_8.jpg,16,L4,2,239,520.9539748953974,97.30125523012552
Normal__N_8.jpg,17,L5,1,38,543.1842105263158,237.07894736842104
Normal__N_8.jpg,17,L5,2,117,552.7948717948718,91.94871794871794
Normal__N_8.jpg,17,L5,3,5869,575.6009541659568,169.31538592605213
Normal__N_8.jpg,17,L5,4,111,626.7207207207207,216.0810810810811
Normal__N_15.jpg,1,T1,1,2006,88.12412761714856,138.90428713858424
Normal__N_15.jpg,2,T2,1,1998,110.71671671671672,139.05905905905905
Normal__N_15.jpg,2,T2,3,34,138.08823529411765,175.11764705882354
Normal__N_15.jpg,3,T3,1,2503,142.6971634039153,145.46344386735916
Normal__N_15.jpg,4,T4,7,936,170.77777777777777,145.68269230769232
Normal__N_15.jpg,4,T4,8,47,159.0212765957447,157.7872340425532
Normal__N_15.jpg,5,T5,3,2141,191.20084072863148,139.9318075665577
Normal__N_15.jpg,5,T5,39,134,213.58955223880596,97.77611940298507
Normal__N_15.jpg,6,T6,3,1612,209.3182382133995,152.735111662531
Normal__N_15.jpg,7,T7,1,30,204.83333333333334,102.96666666666667
Normal__N_15.jpg,7,T7,5,36,214.5,177.66666666666666
Normal__N_15.jpg,7,T7,18,3125,233.97952,145.60448
Normal__N_15.jpg,7,T7,24,42,252.3095238095238,129.6904761904762
Normal__N_15.jpg,7,T7,27,32,257.25,89.90625
Normal__N_15.jpg,8,T8,1,2635,261.79165085388996,142.9586337760911
Normal__N_15.jpg,9,T9,1,3817,290.4990830495153,150.48205396908568
Normal__N_15.jpg,10,T10,1,36,302.0,130.47222222222223
Normal__N_15.jpg,10,T10,3,3672,321.09694989106754,148.18082788671023
Normal__N_15.jpg,10,T10,8,34,341.6764705882353,152.61764705882354
Normal__N_15.jpg,10,T10,9,50,341.42,197.06
Normal__N_15.jpg,11,T11,1,3874,353.7852348993289,142.79349509550852
Normal__N_15.jpg,11,T11,7,30,385.7,91.16666666666667
Normal__N_15.jpg,11,T11,8,56,390.0892857142857,76.16071428571429
Normal__N_15.jpg,12,T12,1,4268,386.340206185567,140.94470477975634
Normal__N_15.jpg,13,L1,1,5565,423.0012578616352,145.10871518418688
Normal__N_15.jpg,14,L2,1,3403,455.79841316485454,148.61710255656774
Normal__N_15.jpg,15,L3,1,7035,493.17043354655294,160.84264392324093
Normal__N_15.jpg,15,L3,8,85,474.7647058823529,85.29411764705883
Normal__N_15.jpg,15,L3,9,351,523.1452991452992,141.86894586894587
Normal__N_15.jpg,16,L4,1,5978,540.319337571094,165.18133154901304
Normal__N_15.jpg,16,L4,2,80,583.5125,139.8875
Normal__N_15.jpg,17,L5,1,4704,575.9470663265306,162.13307823129253
Normal__N_15.jpg,17,L5,2,88,555.5909090909091,217.35227272727272
Normal__N_18.jpg,1,T1,1,2298,69.96953872932986,195.37728459530027
Normal__N_18.jpg,2,T2,1,2338,94.83789563729684,188.57014542343885
Normal__N_18.jpg,2,T2,6,78,163.78205128205127,148.44871794871796
Normal__N_18.jpg,3,T3,1,4823,139.53141198424217,181.69749118805723
Normal__N_18.jpg,4,T4,10,31,151.90322580645162,148.67741935483872
Normal__N_18.jpg,4,T4,11,1259,180.32644956314536,185.4352660841938
Normal__N_18.jpg,5,T5,3,1270,200.19370078740158,172.08425196850393
Normal__N_18.jpg,5,T5,16,105,215.3047619047619,138.57142857142858
Normal__N_18.jpg,6,T6,3,1222,220.02209492635023,162.4558101472995
Normal__N_18.jpg,7,T7,1,3099,241.33236527912229,175.6702161987738
Normal__N_18.jpg,8,T8,8,2270,271.81894273127756,170.91938325991188
Normal__N_18.jpg,9,T9,2,2636,296.27465857359635,167.79742033383914
Normal__N_18.jpg,9,T9,5,45,305.24444444444447,122.84444444444445
Normal__N_18.jpg,10,T10,2,2144,322.01119402985074,168.20149253731344
Normal__N_18.jpg,11,T11,6,2551,346.05527244217956,172.8969031752254
Normal__N_18.jpg,11,T11,8,81,357.7283950617284,115.8395061728395
Normal__N_18.jpg,12,T12,1,5236,379.5765851795264,163.9805194805195
Normal__N_18.jpg,13,L1,3,4370,420.4919908466819,150.86887871853546
Normal__N_18.jpg,14,L2,2,3898,454.1346844535659,143.8991790661878
Normal__N_18.jpg,15,L3,1,5570,491.2,136.59964093357272
Normal__N_18.jpg,16,L4,1,6372,534.314344005022,138.6194287507847
Normal__N_18.jpg,17,L5,1,5450,573.4977981651376,142.10844036697247
Normal__N_19.jpg,1,T1,1,2071,114.0738773539353,204.18783196523418
Normal__N_19.jpg,2,T2,1,2093,136.2446249402771,205.25704730052556
Normal__N_19.jpg,2,T2,4,453,161.85871964679913,182.20529801324503
Normal__N_19.jpg,2,T2,5,36,154.38888888888889,219.55555555555554
Normal__N_19.jpg,3,T3,2,919,156.61588683351468,211.4918389553863
Normal__N_19.jpg,3,T3,10,326,176.50613496932516,186.58588957055215
Normal__N_19.jpg,3,T3,13,30,172.83333333333334,215.53333333333333
Normal__N_19.jpg,3,T3,25,38,186.5,185.76315789473685
Normal__N_19.jpg,4,T4,14,1709,183.4195435927443,211.6998244587478
Normal__N_19.jpg,4,T4,61,30,219.63333333333333,191.0
Normal__N_19.jpg,5,T5,2,2845,216.5304042179262,198.24007029876978
Normal__N_19.jpg,5,T5,37,91,254.25274725274724,204.56043956043956
Normal__N_19.jpg,6,T6,2,216,228.8101851851852,167.52777777777777
Normal__N_19.jpg,6,T6,21,83,240.03614457831324,183.3132530120482
Normal__N_19.jpg,6,T6,28,720,252.87916666666666,187.25
Normal__N_19.jpg,7,T7,9,948,259.03691983122366,193.77637130801688
Normal__N_19.jpg,8,T8,1,1247,275.6744186046512,194.9101844426624
Normal__N_19.jpg,8,T8,25,87,459.2528735632184,219.4712643678161
Normal__N_19.jpg,9,T9,1,2488,299.0152733118971,197.99557877813504
Normal__N_19.jpg,10,T10,1,2529,326.44167655199686,184.36931593515223
Normal__N_19.jpg,10,T10,2,137,306.05109489051097,175.5182481751825
Normal__N_19.jpg,11,T11,5,2741,354.2130609266691,188.60051076249545
Normal__N_19.jpg,12,T12,1,42,353.4047619047619,237.66666666666666
Normal__N_19.jpg,12,T12,2,4121,387.4552293132735,179.79495268138803
Normal__N_19.jpg,12,T12,7,31,364.03225806451616,237.06451612903226
Normal__N_19.jpg,13,L1,2,3835,426.44876140808344,179.4586701434159
Normal__N_19.jpg,13,L1,5,80,444.1625,123.0125
Normal__N_19.jpg,13,L1,16,86,458.4767441860465,206.3953488372093
Normal__N_19.jpg,14,L2,1,3019,459.5097714474992,163.6959258032461
Normal__N_19.jpg,15,L3,2,4328,495.9156654343808,151.02957486136785
Normal__N_19.jpg,16,L4,2,307,510.48208469055373,203.15635179153094
Normal__N_19.jpg,16,L4,3,5047,535.9138101842678,135.50307113136518
Normal__N_19.jpg,17,L5,1,5707,574.4918521114421,135.65936569125634
Normal__N_23.jpg,1,T1,1,36,93.41666666666667,149.25
Normal__N_23.jpg,1,T1,2,2696,119.08902077151335,141.66876854599406
Normal__N_23.jpg,2,T2,1,1769,142.37422272470323,146.95025438100623
Normal__N_23.jpg,3,T3,1,289,143.32525951557093,142.159169550173
Normal__N_23.jpg,3,T3,8,1168,164.8972602739726,136.27739726027397
Normal__N_23.jpg,4,T4,9,33,162.57575757575756,114.93939393939394
Normal__N_23.jpg,4,T4,15,32,162.375,172.53125
Normal__N_23.jpg,4,T4,32,455,180.95824175824177,159.73626373626374
Normal__N_23.jpg,4,T4,33,122,176.69672131147541,97.44262295081967
Normal__N_23.jpg,4,T4,42,42,193.76190476190476,104.47619047619048
Normal__N_23.jpg,4,T4,45,64,194.25,141.59375
Normal__N_23.jpg,5,T5,1,34,140.47058823529412,155.23529411764707
Normal__N_23.jpg,5,T5,3,126,158.18253968253967,139.66666666666666
Normal__N_23.jpg,5,T5,14,129,167.02325581395348,92.36434108527132
Normal__N_23.jpg,5,T5,22,2738,199.2980277574872,127.97845142439738
Normal__N_23.jpg,6,T6,6,640,220.7171875,117.796875
Normal__N_23.jpg,7,T7,1,2954,243.0321597833446,124.3121191604604
Normal__N_23.jpg,8,T8,7,2021,270.3483424047501,118.28599703117268
Normal__N_23.jpg,9,T9,3,3179,296.68606480025164,114.87511796162315
Normal__N_23.jpg,10,T10,7,2509,324.65444400159424,119.97210043842168
Normal__N_23.jpg,10,T10,13,36,319.52777777777777,68.25
Normal__N_23.jpg,10,T10,20,124,347.3225806451613,74.98387096774194
Normal__N_23.jpg,11,T11,3,2907,352.0770553835569,123.13450292397661
Normal__N_23.jpg,12,T12,1,4185,381.9089605734767,141.40884109916368
Normal__N_23.jpg,13,L1,1,4610,419.11561822125816,143.2694143167028
Normal__N_23.jpg,13,L1,20,50,440.64,211.6
Normal__N_23.jpg,14,L2,1,4587,456.0776106387617,160.95465445825158
Normal__N_23.jpg,15,L3,1,4970,494.72334004024145,162.32494969818913
Normal__N_23.jpg,16,L4,1,5589,533.2691000178922,162.95473251028807
Normal__N_23.jpg,17,L5,1,6108,571.323673870334,159.31679764243614
Normal__N_24.jpg,1,T1,1,2460,66.26829268292683,176.9430894308943
Normal__N_24.jpg,2,T2,1,2155,89.64547563805104,175.5675174013921
Normal__N_24.jpg,3,T3,1,5139,133.54173963806187,169.73866510994358
Normal__N_24.jpg,4,T4,7,76,149.5,138.82894736842104
Normal__N_24.jpg,4,T4,8,648,169.5030864197531,192.27469135802468
Normal__N_24.jpg,4,T4,24,77,172.53246753246754,137.53246753246754
Normal__N_24.jpg,5,T5,2,2412,193.77197346600332,165.3097014925373
Normal__N_24.jpg,5,T5,9,47,213.51063829787233,193.17021276595744
Normal__N_24.jpg,6,T6,2,912,217.17543859649123,164.02521929824562
Normal__N_24.jpg,7,T7,1,2804,237.7863766048502,176.16369472182598
Normal__N_24.jpg,8,T8,11,1810,266.96022099447515,178.2171270718232
Normal__N_24.jpg,9,T9,1,2689,293.0208255857196,176.54555596876162
Normal__N_24.jpg,9,T9,2,80,304.7,132.775
Normal__N_24.jpg,10,T10,3,2139,320.3034128097242,173.9878447872838
Normal__N_24.jpg,11,T11,1,2639,345.0901856763926,170.1629405077681
Normal__N_24.jpg,12,T12,8,3908,376.2942681678608,173.69344933469804
Normal__N_24.jpg,13,L1,1,4211,414.02161006886723,174.5894086915222
Normal__N_24.jpg,14,L2,1,4171,450.98393670582595,176.46943179093742
Normal__N_24.jpg,15,L3,1,5067,491.83066903493193,169.39372409709887
Normal__N_24.jpg,16,L4,1,6070,534.366392092257,162.46161449752884
Normal__N_24.jpg,17,L5,1,6529,575.7906264359013,163.60591208454588
Normal__N_26.jpg,1,T1,1,1981,88.86521958606764,122.14941948510852
Normal__N_26.jpg,2,T2,1,2135,111.97845433255269,123.18360655737705
Normal__N_26.jpg,3,T3,1,2714,144.48157700810611,124.92225497420782
Normal__N_26.jpg,4,T4,3,3229,187.37627748528956,142.22669557138434
Normal__N_26.jpg,5,T5,4,1738,223.81127733026466,143.44131185270425
Normal__N_26.jpg,6,T6,2,45,225.0888888888889,130.57777777777778
Normal__N_26.jpg,6,T6,11,164,233.57926829268294,128.70731707317074
Normal__N_26.jpg,6,T6,18,75,233.65333333333334,177.78666666666666
Normal__N_26.jpg,6,T6,78,50,276.28,155.28
Normal__N_26.jpg,6,T6,105,72,300.8888888888889,176.40277777777777
Normal__N_26.jpg,6,T6,120,72,316.4583333333333,178.40277777777777
Normal__N_26.jpg,7,T7,2,2148,257.76536312849163,156.09869646182494
Normal__N_26.jpg,8,T8,5,991,282.7981836528759,156.25025227043392
Normal__N_26.jpg,9,T9,2,1230,300.3479674796748,151.69024390243902
Normal__N_26.jpg,10,T10,2,1152,320.76215277777777,137.3828125
Normal__N_26.jpg,10,T10,4,115,318.2869565217391,185.81739130434784
Normal__N_26.jpg,11,T11,2,3053,346.68162463151,150.99050114641335
Normal__N_26.jpg,11,T11,3,35,326.62857142857143,112.17142857142858
Normal__N_26.jpg,11,T11,17,82,366.2073170731707,198.03658536585365
Normal__N_26.jpg,12,T12,1,89,358.29213483146066,112.26966292134831
Normal__N_26.jpg,12,T12,2,3502,382.45516847515705,157.68732153055396
Normal__N_26.jpg,13,L1,1,4056,417.926775147929,150.2130177514793
Normal__N_26.jpg,13,L1,3,152,451.3355263157895,102.59868421052632
Normal__N_26.jpg,13,L1,4,77,457.23376623376623,146.25974025974025
Normal__N_26.jpg,14,L2,1,3877,457.2728914108847,155.27882383286047
Normal__N_26.jpg,15,L3,1,4557,498.7809962694755,160.31490015360984
Normal__N_26.jpg,15,L3,11,134,533.0223880597015,217.51492537313433
Normal__N_26.jpg,15,L3,12,101,535.7029702970297,125.86138613861387
Normal__N_26.jpg,16,L4,1,4890,542.3593047034765,170.4955010224949
Normal__N_26.jpg,17,L5,1,4985,580.4665997993982,179.97372116349047
Normal__N_27.jpg,1,T1,1,2306,86.62315698178665,128.98178664353858
Normal__N_27.jpg,2,T2,1,2254,109.03504880212955,128.29192546583852
Normal__N_27.jpg,3,T3,1,3140,139.9971337579618,124.06528662420382
Normal__N_27.jpg,4,T4,4,35,142.0857142857143,99.17142857142858
Normal__N_27.jpg,4,T4,9,62,143.79032258064515,122.06451612903226
Normal__N_27.jpg,4,T4,11,31,145.16129032258064,85.19354838709677
Normal__N_27.jpg,4,T4,22,77,154.02597402597402,87.79220779220779
Normal__N_27.jpg,4,T4,26,63,154.20634920634922,149.11111111111111
Normal__N_27.jpg,4,T4,35,126,166.03174603174602,92.81746031746032
Normal__N_27.jpg,4,T4,36,1104,175.4855072463768,135.34057971014494
Normal__N_27.jpg,5,T5,6,162,170.22222222222223,114.23456790123457
Normal__N_27.jpg,5,T5,9,2144,194.97014925373134,113.21735074626865
Normal__N_27.jpg,6,T6,10,1291,218.80867544539117,122.8288148721921
Normal__N_27.jpg,6,T6,17,44,299.02272727272725,171.45454545454547
Normal__N_27.jpg,6,T6,19,125,312.592,178.416
Normal__N_27.jpg,7,T7,1,106,221.19811320754718,153.3490566037736
Normal__N_27.jpg,7,T7,6,2566,242.51714731098986,105.04286827747467
Normal__N_27.jpg,8,T8,14,1248,268.3357371794872,120.84775641025641
Normal__N_27.jpg,9,T9,14,2149,296.55374592833874,127.71521637971149
Normal__N_27.jpg,9,T9,22,34,308.0,90.05882352941177
Normal__N_27.jpg,10,T10,2,303,308.1353135313531,97.996699669967
Normal__N_27.jpg,10,T10,8,1351,325.53293856402667,139.9245003700962
Normal__N_27.jpg,11,T11,2,2550,346.7988235294118,151.2556862745098
Normal__N_27.jpg,11,T11,13,207,365.05314009661834,95.0
Normal__N_27.jpg,12,T12,3,4391,380.0516966522432,147.13345479389662
Normal__N_27.jpg,12,T12,11,44,417.29545454545456,196.0909090909091
Normal__N_27.jpg,13,L1,2,4403,419.1335453100159,152.19327731092437
Normal__N_27.jpg,14,L2,2,4087,453.44776119402985,159.8429165647174
Normal__N_27.jpg,14,L2,19,100,474.02,95.45
Normal__N_27.jpg,15,L3,1,5433,492.8157555678263,158.78060003681207
Normal__N_27.jpg,16,L4,1,6630,537.7971342383107,167.32443438914027
Normal__N_27.jpg,17,L5,1,32,547.46875,201.28125
Normal__N_27.jpg,17,L5,2,4164,576.3595100864553,167.99255523535064
Normal__N_31.jpg,1,T1,1,2537,119.6346078044935,187.19550650374458
Normal__N_31.jpg,2,T2,1,2006,143.45712861415754,188.40279162512462
Normal__N_31.jpg,3,T3,3,1791,169.36013400335008,182.4036850921273
Normal__N_31.jpg,4,T4,7,1150,181.5095652173913,183.76608695652175
Normal__N_31.jpg,5,T5,10,1562,203.28681177976952,181.59026888604353
Normal__N_31.jpg,6,T6,3,1339,219.79387602688573,190.44510828976848
Normal__N_31.jpg,7,T7,3,2621,245.26058756199924,176.49294162533386
Normal__N_31.jpg,8,T8,1,1337,266.60059835452506,186.9027673896784
Normal__N_31.jpg,8,T8,10,81,280.6666666666667,172.25925925925927
Normal__N_31.jpg,9,T9,3,2848,293.6499297752809,187.77422752808988
Normal__N_31.jpg,10,T10,2,2474,323.6641067097817,182.58690379951494
Normal__N_31.jpg,11,T11,2,2804,349.4286733238231,171.09058487874466
Normal__N_31.jpg,12,T12,1,4219,381.0158805404124,171.41692344157383
Normal__N_31.jpg,12,T12,6,58,406.41379310344826,202.1551724137931
Normal__N_31.jpg,13,L1,1,4072,418.24115913555994,158.31949901768172
Normal__N_31.jpg,14,L2,1,3580,451.7536312849162,153.18938547486033
Normal__N_31.jpg,14,L2,2,77,433.3246753246753,151.92207792207793
Normal__N_31.jpg,14,L2,10,72,474.625,132.95833333333334
Normal__N_31.jpg,15,L3,1,6577,493.8362475292687,149.7415234909533
Normal__N_31.jpg,16,L4,5,6860,545.2368804664723,155.98804664723033
Normal__N_31.jpg,17,L5,8,3557,581.5411863930278,154.87573798144504
Normal__N_32.jpg,1,T1,1,1624,110.36699507389163,179.85283251231527
Normal__N_32.jpg,2,T2,1,3273,145.5649251451268,179.29269783073633
Normal__N_32.jpg,3,T3,1,681,178.4581497797357,175.28928046989722
Normal__N_32.jpg,4,T4,2,703,188.38122332859174,175.2475106685633
Normal__N_32.jpg,4,T4,25,43,254.62790697674419,178.93023255813952
Normal__N_32.jpg,4,T4,51,33,278.030303030303,187.75757575757575
Normal__N_32.jpg,5,T5,1,2909,219.05122035063596,170.91921622550706
Normal__N_32.jpg,5,T5,14,783,266.47765006385697,177.75989782886336
Normal__N_32.jpg,6,T6,9,47,230.72340425531914,155.5744680851064
Normal__N_32.jpg,6,T6,70,2631,305.58152793614596,185.61231470923605
Normal__N_32.jpg,6,T6,72,32,276.8125,161.96875
Normal__N_32.jpg,7,T7,1,643,258.9891135303266,203.12130637636082
Normal__N_32.jpg,7,T7,2,275,242.07272727272726,153.2509090909091
Normal__N_32.jpg,7,T7,44,33,388.6969696969697,191.72727272727272
Normal__N_32.jpg,7,T7,51,110,398.6909090909091,208.9181818181818
Normal__N_32.jpg,7,T7,56,58,409.4310344827586,189.5
Normal__N_32.jpg,7,T7,75,30,439.7,197.66666666666666
Normal__N_32.jpg,8,T8,4,64,311.296875,213.140625
Normal__N_32.jpg,8,T8,7,527,385.16129032258067,204.33965844402277
Normal__N_32.jpg,8,T8,30,1111,434.5193519351935,200.02610261026103
Normal__N_32.jpg,9,T9,11,105,322.53333333333336,221.4952380952381
Normal__N_32.jpg,10,T10,1,172,322.4011627906977,158.97674418604652
Normal__N_32.jpg,11,T11,1,3524,354.6305334846765,195.7244608399546
Normal__N_32.jpg,12,T12,1,88,374.7386363636364,163.22727272727272
Normal__N_32.jpg,12,T12,2,135,380.9925925925926,231.16296296296295
Normal__N_32.jpg,12,T12,3,284,397.0035211267606,228.64788732394365
Normal__N_32.jpg,12,T12,4,375,406.6906666666667,175.06133333333332
Normal__N_32.jpg,12,T12,12,93,435.5483870967742,178.4516129032258
Normal__N_32.jpg,13,L1,1,470,411.17021276595744,233.91489361702128
Normal__N_32.jpg,13,L1,3,153,419.15686274509807,165.2483660130719
Normal__N_32.jpg,13,L1,10,1045,441.30047846889954,235.41626794258374
Normal__N_32.jpg,13,L1,11,475,443.82736842105265,170.3642105263158
Normal__N_32.jpg,13,L1,20,235,468.3531914893617,203.81702127659574
Normal__N_32.jpg,14,L2,3,266,469.3157894736842,238.296992481203
Normal__N_32.jpg,14,L2,7,360,477.9611111111111,190.20833333333334
Normal__N_32.jpg,15,L3,1,1901,498.52183061546555,207.45344555497107
Normal__N_32.jpg,17,L5,1,105,557.1142857142858,192.73333333333332
Normal__N_37.jpg,1,T1,1,2190,95.30913242009133,138.05890410958904
Normal__N_37.jpg,2,T2,1,2231,116.71671896010757,141.76647243388615
Normal__N_37.jpg,3,T3,1,2421,140.54233787691038,146.9368029739777
Normal__N_37.jpg,4,T4,11,1995,164.16641604010024,155.01453634085212
Normal__N_37.jpg,4,T4,12,78,151.71794871794873,120.96153846153847
Normal__N_37.jpg,5,T5,19,2604,189.06643625192012,147.34178187403995
Normal__N_37.jpg,6,T6,9,1210,206.96033057851238,146.45371900826447
Normal__N_37.jpg,7,T7,6,3893,233.0380169535063,149.3036218854354
Normal__N_37.jpg,7,T7,11,48,250.85416666666666,135.79166666666666
Normal__N_37.jpg,8,T8,1,2291,264.0257529463116,149.02400698384986
